annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;numero_jokerplus;devise;Unnamed: 25;boule_6;boule_complementaire;nombre_de_gagnant_au_rang7;rapport_du_rang7;Unnamed: 28;nombre_de_gagnant_au_rang8;rapport_du_rang8;nombre_de_gagnant_au_rang9;rapport_du_rang9;nombre_de_codes_gagnants;rapport_codes_gagnants;codes_gagnants;Unnamed: 34
2006001;VE;20060113;20060316;28;5;25;9;2;;2-5-9-18-25-28;7;2142858;29;23944,1;873;1914,1;2187;126,6;37690;63,3;51726;10,2;;eur;;18.0;3.0;553633.0;5,1;;;;;;;;;
2006002;VE;20060526;20060726;7;25;45;22;32;;7-22-25-32-43-45;2;15004838;9;47419,6;235;4394,7;562;205,4;15086;102,7;17137;14;5 403 426;eur;;43.0;6.0;264940.0;7;;;;;;;;;
2006003;VE;20061013;20061213;28;36;38;16;31;;16-28-30-31-36-38;1;15002004;2;212532,6;189;5856,5;522;285,4;11486;142,7;16606;17,2;6 578 042;eur;;30.0;49.0;228719.0;8,6;;;;;;;;;
2007001;VE;20070413;20070613;4;28;40;31;1;;1-4-25-28-31-40;2;7502098;12;40409,2;318;3685,2;1200;183,4;18158;91,7;27225;12,8;5 097 320;eur;;25.0;16.0;316784.0;6,4;;;;;;;;;
2007002;VE;20070713;20070912;20;15;36;18;24;;15-18-20-24-36-44;2;7502196;5;93573;230;5034,7;804;238,4;14066;119,2;24857;15,6;6 044 704;eur;;44.0;6.0;255057.0;7,8;;;;;;;;;
2007003;VE;20070907;20071107;26;14;1;20;37;;1-14-20-26-27-37;2;7500934;6;42459,2;124;4956,7;422;247,4;7172;123,7;12373;15;2 027 543;eur;;27.0;8.0;143499.0;7,5;;;;;;;;;
2007004;VE;20071207;20080206;25;48;31;26;41;;24-25-26-31-41-48;0;0;4;72334,1;115;6124;406;270,4;7602;135,2;13886;15,8;4 437 546;eur;;24.0;12.0;154751.0;7,9;;;;;;;;;
2008001;VE;20080229;20080430;1;49;30;17;15;;1-13-15-17-30-49;2;10001036;8;44953,9;351;2493,7;574;161,8;16166;80,9;15033;12,2;8 152 912;eur;;13.0;48.0;259505.0;6,1;;;;;;;;;
2008002;VE;20080613;20080813;34;25;37;42;15;;15-25-34-36-37-42;2;7501991;6;78102,6;225;5101,4;613;242,4;14049;121,2;17651;16,2;8 651 700;eur;;36.0;49.0;253160.0;8,1;;;;;;;;;
2009001;VENDREDI;13/02/2009;15/04/2009;37;26;6;8;43;3.0;6-8-26-37-43+3;0;0;6;157518,6;1434;1214,2;69503;11;1039428;5,2;1641721;2;3 148 845;eur;;;;;;;;;;;;;;
